SKU,Parfum_Ismi,Koku_Ailesi,Ust_Nota,Kalp_Nota,Dip_Nota,Karakter
"W 196","SEXY LITTLE THINGS-NOIR ","Çiçeksi & Meyveli & Tatlı","Kırmızı Elma, Nektarin, Narenciyeler, Ananas, Armut, Kırmızı Orman Meyveleri","Erik, Yasemin, Böğürtlen, Şeftali, Orkide, Vadi Zambağı","Kehribar (Amber), Misk, Tonka Fasulyesi, Vanilya, Odunsu Notalar","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 198","EAU SO SEXY","Çiçeksi & Meyveli & Tatlı","Bergamot, Elma","Krem Şanti","Tatlı Notalar","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 199","DECADENCE","Oryantal & Çiçeksi & Lüks","Erik, Safran, İris","Bulgar Gülü, Yasemin Sambac, Süsen Kökü","Kehribar, Vetiver, Papirüs","Zarafet, Özgüven ve Feminenlik - Zarif ve Feminen Kıvrımlar"
"W 2","ACQUA DI GIO","Çiçeksi & Meyveli & Ferah","Şakayık, Ananas, Menekşe, Muz","Vadideki Zambak, Yasemin, Gül","Beyaz Misk, Sedir Ağacı, Sandal Ağacı","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 20","JOOP FEMME","Oryantal & Odunsu & Ağır","Kişniş, Neroli, Bergamot, Limon","Yasemin, Portakal Çiçeği, Gül, Müge","Sandal Ağacı, Vanilya, Misk, Sedir, DPG","Çekicilik, Özgüven ve Cinsel Arzu - Lüks ve Ağır Cam İşçiliği"
"W 200","DOLCE&GABBANA INTENSE","Oryantal & Çiçeksi & Kremamsı","Yeşil Mandalina, Neroli","Tuberose (Sümbülteber), Portakal Çiçeği","Marşmelov, Sandal Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 21","L’EAU D’ISSEY","Sucul & Ozonik & Minimalist","Lotus, Frezya, Siklamen, Kavun, Gülsu","Vadi Zambağı, Beyaz Lilyum, Şakayık","Egzotik Odunlar, Misk, Kehribar, Sümbülteber","Ferahlık ve Enerji - Klasik / Minimalist"
"W 22","SCANDAL","Şipre & Çiçeksi & Tatlı","Kan Portakalı, Mandalina","Bal, Gardenya, Yasemin, Şeftali, Portakal Çiçeği","Karamel, Paçuli, Balmumu, Meyankökü","Çekicilik, Özgüven ve Cinsel Arzu - Lüks ve Ağır Cam İşçiliği"
"W 23","J'ADORE","Çiçeksi & Meyveli & Güneşli","Armut, Kavun, Manolya, Şeftali","Grasse Yasemini, Gül, Orkide, Frezya","Beyaz Misk, Vanilya, Böğürtlen, Sedir Ağacı","Otorite, Güven ve Profesyonellik - Zarif ve Feminen Kıvrımlar"
"W 24","BURBERRY BODY","Pudralı & Duyusal & Ten Kokusu","Yeşil Pelin Otu, Şeftali, Frezya","Doğal Gül Yağı, İris, Sandal Ağacı","Kaşmir Ahşap Notaları, Vanilya, Misk, Kehribar","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 25","ARMANI IDOLE","Çiçeksi & Aromatik & Modern","Acı Portakal, Armut, Zencefil","Yasemin, Safran, Mısır Gülü","Paçuli, Styrax Reçinesi, Vetiver","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 26","BLV JASMIN NOIR","Çiçeksi & Derin & Gizemli","Yeşil","Yasemin Sambac, Saten Badem","Tonka Fasulyesi, Değerli Odunlar, Meyan Kökü","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 27","KENZO BY FLOWER","Pudralı & Temiz & İkonik","Kuşüzümü, Alıç, Bulgar Gülü, Mandalina","Parma Menekşesi, Şam Gülü, Yasemin, Opoponax","Pudralı Beyaz Misk, Vanilya, Tütsü","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 28","L'EAUPAR KENZO","Sucul & Taze & Enerjik","Yeşil Nane, Mandalina, Pembe Biber","Nilüfer (Water Lily), Şeftali, Nergis","Sedir Ağacı, Beyaz Misk, Mavi Sedir","Ferahlık ve Enerji - Klasik / Minimalist"
"W 29","DIAMOND INTENSE","Çiçeksi & Meyveli & Gurme","Ahududu, Litchi","Gül, Frezya, Vadi Zambağı","Vanilya, Paçuli, Sedir Ağacı, Vetiver","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 3","BURBERRY WEEKEND","Çiçeksi & Pudralı & Romantik","Mandalina, Adaçayı, Reseda Çiçeği","Mavi Sümbül, İris, Şeftali Çiçeği","Sandal Ağacı, Misk, Sedir Ağacı","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 30","MIRACLE","Çiçeksi & Baharatlı & Aydınlık","Pembe Frezya, Lychee Meyvesi","Manolya, Zencefil, Sichuan Biberi, Yasemin","Beyaz Amber, Yoğun Misk, Kristal Kehribar","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 31","FANTASY MIDNIGHT","Meyveli & Tatlı & Gece","Siyah Erik, Sour Cherry, Frambuaz","Gece Açan Orkide, İris, Frezya","Vanilya, Misk, Kehribar","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 33","NARCISO RODRIGUEZ","Misk & Odunsu & Çekici","Pembe Gül, Ballı Şeftali","Misk Ekstresi, Saf Kehribar","Doğal Paçuli, Sandal Ağacı, Çözücü DPG","Çekicilik, Özgüven ve Cinsel Arzu - Lüks ve Ağır Cam İşçiliği"
"W 35"," POUDREE","Çiçeksi & Pudralı & Miskli","Yasemin, Bulgar Gülü, Portakal Çiçeği","Misk","Kumarin, Sedir Ağacı, Vetiver, Paçuli","Ferahlık ve Enerji - Lüks ve Ağır Cam İşçiliği"
"W 36","POISON","Oryantal & Baharatlı & Ağır","Siyah Erik, Vahşi Meyveler, Kişniş, Anason","Beyaz Bal, Tarçın, Tütsü, Sümbülteber, Gül","Kehribar, Vanilya, Sandalwood, Kediotu, Musk","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 37","BOSS ORANGE","Çiçeksi & Meyveli & Neşeli","Tatlı Kırmızı Elma","Beyaz Çiçekler, Afrika Portakal Çiçeği","Vanilya, Sandal Ağacı, Zeytin Ağacı","Otorite, Güven ve Profesyonellik - Zarif ve Feminen Kıvrımlar"
"W 38","POEME","Çiçeksi & Yoğun & Klasik","Datura Çiçeği, Mavi Hodan, Mandalina","Mimoza, Deri Akorları, Frezya, Gül, Nergis","Kehribar Vanilyası, Sedir, Sedef Çiçeği","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 39","KENZO AMOUR","Oryantal & Pudralı & Krem","Pirinç Basmati, Beyaz Çay","Frangipani, Kiraz Çiçeği, Kediotu","Saf Vanilya, Beyaz Tütsü, Odunsu Notalar, Misk","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 4","BURBERRY","Meyveli & Klasik & Zarif","Siyah Frenk Üzümü, Şeftali, Armut","Yasemin, Sandal Ağacı, Sedir Ağacı","Yoğun Madagaskar Vanilyası, Misk, Kehribar","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 40","AVON CELEBRE","Çiçeksi & Taze & Günlük","Sulu Karpuz, Beyaz Siklamen, Pepper","Beyaz Şakayık, Manolya, Frezya","Sandal Ağacı, Sedir Ağacı","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 41","GOLDEA","Oryantal & Çiçeksi & Miskli","Misk, Ahududu, Portakal Çiçeği, Bergamot","Ylang-Ylang, Yasemin, Misk","Kehribar (Amber), Paçuli, Papirüs","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 42","BEYONCE HEAT","Oryantal & Sıcak & Tropikal","Şeftali, Kırmızı Orkide, Manolya, Neroli","Misk, Bademli Macaron, Hanımeli","Kehribar, Tonka Fasulyesi, Sekoya Odunu","Ferahlık ve Enerji - Klasik / Minimalist"
"W 43","CHLOE NO MADE","Şipre & Çiçeksi & Odunsu","Erik, Bergamot, Limon, Portakal","Frezya, Yasemin, Şeftali, Gül","Meşe Yosunu, Amberwood, Paçuli, Beyaz Misk, Sandal Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Lüks ve Ağır Cam İşçiliği"
"W 44","TRESOR","Çiçeksi & Pudralı & Zamansız","Şeftali, Kayısı, Gül, Gül Çiçeği","Süsen, Heliotrope, Yasemin, vadi zambağı","Sandal Ağacı, Vanilya, Misk, Kehribar","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 45","WISH","Gurme & Oryantal & Tatlı","Yabani Çilek, Siyah Frenk Üzümü, Armut","Beyaz Bal, Menekşe, Süt Notaları, Kediotu","Karamel, Paçuli, Vanilya, Tonka, Sandalwood","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 46","GUCCI BLOOM","Çiçeksi & Pudralı & Beyaz Çiçek","Yasemin","Sümbülteber (Tuberose)","Çin Hanımelisi (Rangoon Creeper)","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 47","ZADIG THIS IS HER","Oryantal & Gurme & Tatlı","Pembe Biber, İpek Ağacı Çiçeği, Yasemin","Kestane, Krem Şanti, Vanilya","Sandal Ağacı, Kaşmir Ağacı","Zarafet, Özgüven ve Feminenlik - Klasik / Minimalist"
"W 48","CHANEL NO:5","Çiçeksi & Aldehit & İkonik","Yoğun Aldehitler, Ylang-Ylang, Neroli","Grasse Gülü, Yasemin, Süsen Kökü","Mysore Sandal Ağacı, Vetiver, Kehribar, Paçuli","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 49","CHANCE","Şipre & Çiçeksi & Enerjik","Pembe Biber, Sümbül, Ananas, İris","Mayıs Limonu, Yasemin Sambac","Paçuli, Beyaz Misk, Vanilya, Vetiver","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 5","THE SCENT BOSS","Çiçeksi & Gurme & Çekici","Ballı Şeftali, Frezya","Güneydoğu Asya Osmanthus Çiçeği","Kavrulmuş Kakao Çekirdekleri","Otorite, Güven ve Profesyonellik - Zarif ve Feminen Kıvrımlar"
"W 50","PARIS HILTON","Meyveli & Tatlı & Genç","Kavun, Yeşil Elma, Şeftali","Frezya, Mimoza, Yasemin, Sümbülteber","Beyaz Misk, Sandal Ağacı, Ylang-Ylang","Ferahlık ve Enerji - Klasik / Minimalist"
"W 51","JOY OF PINK","Narenciye & Ferah & Canlı","Kan Greyfurtu","Şakayık, Mavi Curaçao Likörü","Virginia Sediri, Misk Akoru","Ferahlık ve Enerji - Klasik / Minimalist"
"W 53","212 V.I.P","Oryantal & Çekici & Gece","Egzotik Çarkıfelek Meyvesi, Sert Rom","Misk Akorları, Gardenya","Vanilya, Tonka Fasulyesi","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 54","MISS DIOR CHERIE","Şipre & Meyveli & Elegant","Yeşil Mandalina, Çilek Yaprağı","Menekşe, Pembe Yasemin, Karamel Patlamış Mısır","Taze Paçuli, Kristal Misk, Kehribar","Ferahlık ve Enerji - Klasik / Minimalist"
"W 55","BOLERO","Çiçeksi & Meyveli & Günlük","Mandalina, Siyah Frenk Üzümü, Şeftali","Beyaz Gül, Şakayık","Sandal Ağacı, Tonka Fasulyesi","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 56","LACOSTE FEMME","Çiçeksi & Odunsu & Elegant","Yenibahar, Mor Frezya","Kediotu, Beyaz Yasemin, Bulgar Gülü","Himalaya Sediri, Sandal Ağacı, Süet Akoru","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 57","JOY DIOR","Çiçeksi & Odunsu & Miskli","Mandalina, Bergamot","Grasse Gülü, Yasemin, Şeftali, Kuş Üzümü","Beyaz Misk, Sandal Ağacı, Sedir Ağacı, Paçuli, Benzoin","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 58","BE DELICIOUS","Meyveli & Sucul & Enerjik","Amerikan Salatalığı, Greyfurt, Manolya","Yeşil Elma, Vadi Zambağı, Gül, Menekşe","Beyaz Amber, Sandal Ağacı, Odunsu Notalar","Ferahlık ve Enerji - Klasik / Minimalist"
"W 59","CALDION","Çiçeksi & Pudralı & Klasik","Sulu Meyvemsi","Menekşe, Bahçe Yasemini","Pudralı Misk, Sedir Ağacı","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 6","CASMIR","Oryantal & Vanilya & Sıcak","Şeftali, Kayısı, Siyah Frenk Üzümü","Tarçın, Karanfil, Sardunya, Mandalina","Saf Vanilya, Benzoin, Kehribar, Sandalwood","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 60","DELICIOUS RED","Meyveli & Tatlı & Çekici","Kırmızı Elma, Ahududu, Kakule","Gül, Menekşe, Yeşil Notalar","Vanilya, Kehribar, Odunsu Fiksatörler","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 61","FAR AWAY","Oryantal & Pudralı & Derin","Hindistan Cevizi, Karoo Şeftalisi, Ylang-Ylang","Yasemin, Frezya, Gül, Osmanthus, Karave","Yoğun Vanilya, Sandal Ağacı, Misk, Kehribar","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 62","RALPH","Meyveli & Taze & Genç","Yeşil Elma Yaprağı, İtalyan Mandalinası","Sarı Frezya, Beyaz Manolya","Beyaz İris, Misk Akoru","Ferahlık ve Enerji - Klasik / Minimalist"
"W 63","212 WOMEN","Çiçeksi & Modern & Metalik","Çiçek Sapları, Calabria Bergamotu, Mandalina","Gardenya, Kamelya, Beyaz Zambak, Yasemin","Sandal Ağacı, Şeffaf Misk","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 64","CHRISTINA AGUILERA","Oryantal & Çiçeksi & Flörtöz","Siyah Frenk Üzümü, Mandalina, Egzotik Meyve","Ballı Şeftali, Şakayık, Kara Erik","Kremsi Vanilya, Misk, Kehribar","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 65","BRIGHT CRYSTAL","Çiçeksi & Sucul & Işıltılı","Yuzu, Nar, Buz Akoru","Şakayık, Lotus Çiçeği, Manolya","Bitkisel Kehribar, Maun Ağacı, Misk","Otorite, Güven ve Profesyonellik - Zarif ve Feminen Kıvrımlar"
"W 66","MAGNETISM","Oryantal & Gurme & Baştan Çıkarıcı","Ahududu, Siyah Frenk Üzümü, Kavun","Fesleğen, Süsen, Yasemin, Gül, Kimyon","Vanilya, Karamel, Paçuli, Misk","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 67","MY WAY","Çiçeksi & Narenciyeli & Beyaz Çiçek","Portakal Çiçeği, Bergamot","Sümbülteber, Hindistan Yasemini","Madagaskar Vanilyası, Beyaz Misk, Virjinya Sediri","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 68","RUSH 2","Çiçeksi & Yeşil & Canlı","Frezya, Müge, Mayıs Gülü","Beyaz Zambak, Gardenya, Palmiye Ağacı","Misk, Meşe Yosunu, Siyah Frenk Üzümü","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 69","PURE POISON","Çiçeksi & Beyaz Çiçek & Pudralı","Yasemin, Portakal Çiçeği, Bergamot","Çin Gardenyası, Mandalina Çiçeği","Beyaz Kehribar, Sandal Ağacı, Virginia Sediri","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 70","LADY MILLION LUCKY","Çiçeksi & Meyveli & Odunsu","Ahududu","Gül, Yasemin, Fındık","Bal, Sandal Ağacı, Sedir Ağacı, Kaşmir Ağacı","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 71","AMARIGE","Çiçeksi & Zengin & Klasik","Erik, Şeftali, Portakal Çiçeği, Menekşe","Sümbülteber, Mimoza, Karanfil, Ylang-Ylang","Sandal Ağacı, Vanilya, Misk, Kehribar, Tonka","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 72","LADY MILLION","Çiçeksi & Odunsu & Gösterişli","Ahududu, Amalfi Limonu, Neroli","Yasemin, Portakal Çiçeği, Gardenya","Beyaz Bal, Paçuli, Kehribar","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 73","COCO CHANEL","Oryantal & Baharatlı & Anıtsal","Kişniş, Mandalina, Şeftali, Şam Gülü","Karanfil, Mimoza, Yonca, Portakal Çiçeği","Kehribar, Sandal Ağacı, Labdanum, Civet, Tonka","Ferahlık ve Enerji - Klasik / Minimalist"
"W 74","212 SEXY","Oryantal & Pudralı & Çekici","Pembe Biber, Mandalina, Bergamot","Pamuk Şeker, Sardunya, Çiçeksi Notalar","Vanilya, Misk, Sandal Ağacı, Karamel","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 75","ENVY ME","Çiçeksi & Meyveli & Oyunbaz","Pembe Şakayık, Pembe Biber, Ananas, Mango","Beyaz Çay, Sulu Nar, Yasemin, Litchi","Beyaz Misk, Sandal Ağacı, Teak Ağacı","Otorite, Güven ve Profesyonellik - Zarif ve Feminen Kıvrımlar"
"W 76","OMNIA","Oryantal & Baharatlı & Sofistike","Kakule, Zencefil, Karabiber, Mandalina","Masala Çayı, Tarçın, Nutmeg, Karanfil","Siyah Çikolata, Sandal Ağacı, Guaiac Odunu","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 77","LADY MILLION PRIVIE","Oryantal & Çiçeksi & Baharatlı","Odunsu","Vanilya, Ahududu, Kediotu","Kakao, Bal, Paçuli","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 78","ULTRAVIOLET","Oryantal & Çiçeksi & Fütüristik","Kayısı, Kişniş, Karabiber, Pimiento, Badem","Japon Osmanthusu, Menekşe, Gül, Yasemin","Vanilya, Kehribar, Paçuli, Sandalwood","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 79","IN2U","Narenciye & Taze & Sportif","Pembe Greyfurt, Sicilya Limonu, Mayhoş Frenk","Altın Orkide, Beyaz Kaktüs","Vanilya, Virginia Sediri, Amber","Otorite, Güven ve Profesyonellik - Klasik / Minimalist"
"W 8","ARMANI YOU","Çiçeksi & Meyveli & Tatlı","Ahududu, Limon, Neroli","Gül","Vanilya, Misk, Amberwood","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 80","ANGEL INNOCENT","Gurme & Şeffaf & Tatlı","Bergamot, Mandalina","Badem, Kırmızı Orman Meyveleri","Kehribar, Beyaz Misk, Yamaç Pralini","Ferahlık ve Enerji - Klasik / Minimalist"
"W 81","THE BEAT","Çiçeksi & Odunsu & Dinamik","Pembe Biber, Mandalina, Kardamom","Seylan Çayı, Süsen (Iris), Çan Çiçeği","Vetiver, Virginia Sediri, Beyaz Misk","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 82","ALIEN","Oryantal & Odunsu & Karizmatik","Saf Yasemin Sambac","Kaşmir Ahşap Notaları","Beyaz Kehribar","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 83","HUGO XX","Çiçeksi & Meyveli & Odunsu","Mandalina, Küme Üzümü, Litchi","Pirinç Basmati, Yasemin, Gül","Sandal Ağacı, Kehribar, Misk","Otorite, Güven ve Profesyonellik - Zarif ve Feminen Kıvrımlar"
"W 84","HYPNOSE","Oryantal & Çiçeksi & Hipnotik","Çarkıfelek Çiçeği (Passion Flower)","Yasemin, Gardenya","Kremsi Vanilya, Vetiver","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 85","ABSOLUTELY IRRESISTIBLE","Çiçeksi & Baharatlı & Canlı","Mandalina, Kırmızı Meyveler, Kırmızı Biber","Mısır Yasemini, Heliotrope, Portakal Çiçeği","Sedir Ağacı, Paçuli, Kehribar","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 86","BURBERRY SPORT","Taze & Sucul & Dinamik","Mandalina, Zencefil, Deniz Akorları","Beyaz Manolya, Melisa, Hanımeli","Sedir Ağacı, Beyaz Misk","Ferahlık ve Enerji - Dinamik ve Modern Tasarım"
"W 87","DAISY","Çiçeksi & Pudralı & Ferah","Menekşe Yaprağı, Kan Greyfurtu, Çilek","Menekşe, Yasemin, Gardenya","Beyaz Ahşap Notaları, Misk, Vanilya","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 88","ZEN","Şipre & Çiçeksi & Aydınlık","Greyfurt, Portakal, Ananas, Gül, Bergamot","Frezya, Gardenya, Menekşe, Sümbül, Lotus","Paçuli, Sedir, Beyaz Misk, Kehribar, Deniz","Ferahlık ve Enerji - Lüks ve Ağır Cam İşçiliği"
"W 89","LIGHT BLUE","Narenciye & Sucul & Klasik","Sicilya Limonu, Yeşil Elma, Çan Çiçeği","Bambu, Yasemin, Beyaz Gül","Virginia Sediri, Misk, Kehribar","Ferahlık ve Enerji - Klasik / Minimalist"
"W 9","COOL WATER","Sucul & Ferah & Dinamik","Kavun, Lotus, Limon, Calone, Nilüfer","Bal, Yasemin, Alıç, Vadi Zambağı, Gül","Misk, Vetiver, Sandal Ağacı, Kehribar","Ferahlık ve Enerji - Klasik / Minimalist"
"W 90","COCO MADEMOISEL","Şipre & Çiçeksi & Lüks","Portakal, Mandalina, Bergamot, Portakal Çiçeği","Mayıs Gülü, Yasemin, Mimoza, Ylang-Ylang","Paçuli, Beyaz Misk, Vanilya, Vetiver, Tonka","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 91","BLACK XS","Oryantal & Odunsu & Tatlı","Küme Üzümü, Pembe Biber, Demir ağacı","Siyah Menekşe, Kakao, Gül","Paçuli, Vanilya, Massoia Ahşap Özü","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 92","PURE XS  FOR HER","Oryantal & Çiçeksi & Gurme","Patlamış Mısır, Ylang-Ylang","Şeftali, Portakal Çiçeği, Hindistan Cevizi","Vanilya, Ambrette, Beyaz Misk, Sandal Ağacı, Amberwood","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 94","LOLITA L.","Gurme & Oryantal & Masalsı","Sarmaşık, Anason, Kiraz","Meyan Kökü, Süsen, Amaryllis","Vanilya, Pralin, Tonka Fasulyesi, Misk","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 95","LOLITA","Gurme & Pudralı & Tatlı","Menekşe, Sarmaşık, Yıldız Anason","İris, Amaryllis, Meyan Kökü, Kiraz","Tonka, Vanilya, Vetiver, Beyaz Misk","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 96","ADDICT","Oryantal & Çiçeksi & Gece","Böğürtlen, Mandalina Yaprağı","Gece Açan Cereus, Portakal Çiçeği, Gül","Koyu Vanilya, Tonka Fasulyesi, Sandal Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 97","VERY IRRESISTIBLE","Çiçeksi & Gül & Yoğun","Cassia, Limon Mine Çiçeği, Anason","Sentifolia Gülü, Şakayık, Manolya","Değerli Taif Gülü Özü","Otorite, Güven ve Profesyonellik - Zarif ve Feminen Kıvrımlar"
"W 98","GREY VETIVER","Odunsu & Baharatlı & Topraksı","Greyfurt, Portakal Çiçeği, Adaçayı","Hindistan Cevizi, Süs Kökü (İris), Yenibahar","Vetiver, Odunsu Notalar, Amber, Meşe Yosunu","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 99","BITTER PEACH","Meyveli & Oryantal & Tatlı","Şeftali, Kan Portakalı, Kakule, Kediotu","Rom, Konyak, Davana, Yasemin","Vanilya, Endonezya Paçulisi, Tonka Fasulyesi, Sandal Ağacı, Benzoin, Kaşmeran, Labdanum","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W103","EUROPHIA","Oryantal & Çiçeksi & Meyveli","Nar, Trabzon Hurması, Yeşil","Siyah Orkide, Lotus, Manolya","Maun Ağacı, Kehribar, Siyah Menekşe, Misk","Zarafet, Özgüven ve Feminenlik - Zarif ve Feminen Kıvrımlar"
